# English Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
a	list,new,sentence,given,great
animated	film,gif,series,feature,screensavers
animation	and,of,to,is,in
animations	and,to,can,could,infographics
animator	is,in,designs
anime	and,porn,sex,girls,hentai
anise	flavor,sichuan
aniston	was,is
ankara	is,citadel
ankle	and,boots,strap
ankles	and,from
anmeldung	geld
ann	and,taylor,that,patchett,said
anna	and,kournikova,nicole,was,had
annabelle's	parents,unique
annals	of
annan	was,held
anne	of,and,hathaway,griffin,often
annealing	is,genetic,are,to
annex	to,canada
annexation	of
annexed	to,by
annie	leibovitz,have,and,trips,williams
annihilation	of
anniversary	of,gift,or,gifts,in
anniyan	and
annonces	gratuites
annotate	the,this,it
annotated	bibliography,by,with,datasets
annotation	of,as,for
annotations	were,markup,and,allow,technology
announce	the,that,a,our,their
announced	a,the,that,plans,its
announcement	of,that,was,by,for
announcements	and,from,of,about,for
announces	the,new,that,a,its
announcing	the,a,that,it,specials
annoy	garbage,me,and
annoyance	can,as
annoyed	by,at,with,or
annoying	to,frog,and,pop,person
annoys	me
anns	can,are,svm,had,use
annual	report,reports,meeting,interest,income
annually	in,and,to,by,on
annuals	or,in
annunci	gratuiti
anodized	aluminum
anomalies	in,and,that,or,such
anomalous	activity,transactions,values,behaviour,behavior
anomaly	detection,is,in,pursue,his
anonymity	of,ease,while,provides,may
anonymization	technique
anonymous	user,on,users,said,at
anonymously	find,preventing
anorexia	nervosa,is,have
another	way,example,day,important,person
another's	sovereignty,perspectives,needs,viewpoints
ans	et
answer	the,to,questions,is,this
answerable	to
answered	by,the,with,in,and
answering	the,questions,machine,a,your
answers	to,and,for,in,on
ant	farm,and,is,snake,crawling
antagonist	in,of,is,or,and
antagonizing	language
antarctic	ice,blue,are,winter,since
antarctica	is,asia,are,calling,europe
anteater	with,armadillo,anaconda
anteaters	due,and
antecedent	of,for,it
antelope	with,aardvark,canyon,gazelles
antelopes	are,hares,warthogs
antenna	is,and,for,to,with
antennae	that,with,on,they,emerging
antennas	and
antes	de
anthem	of,that,is,democracy,and
anthology	of,and
anthony	and,doerr,f,gina
anthropogenic	greenhouse,impacts,sources,global,contributions
anthropological	phenomenon,museum
anthropology	and,of,are,on,is
anthropomorphic	characters,mischievous
anthropomorphism	is
anti	virus,spyware,aging,spam,however
antibacterial	properties,and,antiviral
antibiotic	resistance,therapy,to,for,ointment
antibiotics	and,in,is,are,can
antibodies	to,against,in,and,were
antibody	to,is
anticipate	the,and,that,a,customer
anticipated	that,to,and,in,by
anticipates	that,the
anticipating	the,being,user,potential,future
anticipation	of,as,and,for,they
anticipatory	and,customer
antics	of,and,amusing
antidepressant	medications,effects
antidepressants	can,should
antidote	to
antietam	fought,the
antifungal	and,properties
antigua	and
antimalware	software
antimicrobial	polymers,properties
antimony	tellurium,and
antioxidant	properties,content,that,and
antioxidants	and,which,that,to,vitamin
antique	and,furniture,shops,store,kite
antiques	and,call
antiquities	enthusiast,and
antiquity	and,to
antiretroviral	therapy
antiseptic	wipes,solution,antifungal,techniques,antiviral
antithesis	of
antitrust	laws,lawsuit,act
antiviral	and,medications,properties
antivirus	software,and,system,or,program
antje	sexcam
antlers	spreading,had
antoine	wildman,de,a,lavoisier
antonio	breaking,business,industry,and,schools
antony	and
antonym	of,for,is,to,list
antonyms	for,of,or,to,output
antrim	northern,armagh
ants	and,have,are,marched,swarmed
anus	as,eliminates
anvil	and,hammer
anxieties	were,but,can,hint
anxiety	and,disorder,or,about,disorders
anxious	about,and,to,for,or
anxiously	awaiting,waiting,as
any	other,questions,of,additional,potential
anybody	who,else,know,have,can
anymore	and,because,than,they,i'm
anyone	who,looking,can,else,with
anyone's	guess,daily
anything	else,that,you,to,goes
anytime	you,and,soon,during,in
anytown	usa,ca,xy
anyway	and,to,so,then,enough
anywhere	in,and,with,from,at
aortic	valve
aotearoa	brisbane
ap	involves,over,and
apa	style,format,formatting,guidelines,standard
apache	and,server,web,cassandra,spark
apart	from,and,by,the,for
apartheid	system,policies,government,museum
apartment	in,for,and,is,with
apartments	and,in,for,are,paris
apathy	isolation,detachment,is,and
aperture	in,allows,sensor,controls,size
apex	of,predator,predators,brown,it
aphrodite	texas,was,and
api	should,call,is,endpoint,and
api's	count,to
apis	provide,are,for,to,mellifera
apnea	and,is,are
apo	thn,to
apocalypse	is,in,would,now,but
apocalyptic	setting,future
apollo	mission,program,was,and,a
apologies	for,to,and,be
apologise	for
apologize	for,to,if,and,but
apologized	to,for,and,bought
apologizes	for
apologizing	for,to,sincerely
apology	for,to,letter,and,accepted
apoptosis	in,and
aposematic	coloration
apostrophe	is,and,meaning
app	that,is,to,for,should
app's	features,purpose,sustained,process,functions
appalachian	mountains,trail
appalled	by,at,with
apparatus	for,and,to,of,is
apparel	and,for,fashion,products,at
apparent	to,that,from,in,reason
apparently	the,it,they,not,a
appeal	to,of,for,from,in
appealed	to,the,for
appealing	and,to,for,design,visuals
appeals	to,for,and,court,process
appear	in,to,on,as,before
appearance	of,and,in,on,is
appearances	and,in,on,by,of
appeared	in,to,and,on,before
appearing	in,on,to,as,at
appears	to,in,on,that,as
appease	the
appellant	was
appellate	court,courts,review,jurisdiction
append	the,a,insertbefore,it,your
appended	to
appending	the,each,loop
appendix	to
appetite	and,for,suppressant,or,digestive
appetizer	using,dessert,or,could
appetizers	entrees,and,mains,such,fine
applaud	the,when
applauded	the,for
applause	and
apple	and,is,banana,inc,orange
apple's	products,siri,latest,iphone,stock
apples	and,are,oranges,to,bananas
applesauce	or,pouches,and
appleton	and
appliance	brand,that,for,furniture,can
appliances	and,at,when,are,in
applicability	of,to
applicable	to,laws,taxes,for,in
applicant	must,is,for,has,and
applicant's	skills,credit,risk,background,ability
applicants	must,for,are,who,should
application	of,is,for,that,and
application's	coding,features,speed
applications	and,of,such,in,are
applied	to,in,and,for,by
applies	to,only,a,the,in
apply	for,the,to,a,online
applying	for,to,the,a,this
appoint	a,an,the,one,cabinet
appointed	to,by,as,and,a
appointing	authority,a,supreme,ministers
appointment	of,for,with,scheduling,is
appointments	and,to,for,are,in
appoints	new
apportionment	of
appraisal	of,and
appraise	the
appraised	value
appreciate	the,your,it,that,them
appreciated	and,the,by,that,in
appreciates	the,a
appreciating	the,how,and,our,it
appreciation	for,of,and,to,days
appreciative	of,for
apprehend	criminals,abstract
apprehended	by,and,as,the
apprehending	any,and
apprehension	of,as,come,is,but
apprehensive	about,and,as
apprenticeships	than,instead,as,and
apprised	of
approach	to,for,and,that,is
approachable	and,setting,goals,for,to
approached	the,by,him,me,to
approaches	to,for,and,the,are
approaching	the,a,global,however,and
appropriate	for,response,to,and,action
appropriated	to,for,by,funds,in
appropriately	and,to,for,in,collected
appropriateness	of
appropriation	is,of,for,to,typically
appropriations	for,bill,to
approval	of,for,and,to,in
approvals	and,for
approve	the,a,of,or,and
approved	by,for,the,and,in
approves	the,of
approving	the,a,hopeful,headlines
approximate	the,population,and,rental,value
approximated	by
approximately	one,the,equal,three,two
approximates	the,human
approximation	of,to,for,is
approximations	of,using
apps	and,that,to,for,can
appy	geek,pie
apr	credit,and,may
apricots	raspberries,kiwi,peaches
april	and,to,of,the,through
apriori	algorithm
apt	to,toronto,email,install,description
aptitude	for,and,are
aptly	named,sums
aqua	teen
aquamarine	blue,swell
aquarium	and,cement,of,where,who
aquariums	feature,or,is,have,may
aquaseabotics	which,can
aquatic	environment,life,plants,organisms,and
aqueducts	while,and
aqueous	solution,solutions,and,sapphire
ar	gyfer,y,yr,gael,can
arab	world,and,countries,states,gay
arabia	and,is,russia,israel,india
arabian	sea
arabic	and,language,countries,numerals
arabidopsis	thaliana
arable	land
arabs	and,in
arachidonic	acid
arachnids	not,are
arafat	and
aramis	and
arbitrary	and,code,revisions,number,text
arbitration	and,in,on
arboretum	loop,and
arborio	rice
arc	of,de,that,distance,and
arcade	games,game,cabinet,with,machines
arch	support,bridge,nemesis,st,should
archaeological	sites,anthropology,and,significance
archaeology	and,of
archbishop	of
archdiocese	of
archduke	franz,ferdinand
arched	windows,bridge
arches	national,and,to,over
archetype	is,in
archetypes	in
archipelago	of,nation
architect	and,of,poet,joseph,web
architecting	software,entire
architects	and,of,should,to,design
architectural	and,style,design,marvel,styles
architecture	and,of,for,in,that
architectures	and,to,such,for,based
archive	of,for,by,and,is
archived	on,at,and,articles,in
archives	of,by,and,for,are
archiving	and
archivos	de
arcs	slanting,as,which
arctic	and,region,ocean,is,sea
arctic's	climate,ecosystem
arduous	journey,but,concepts,task,the
are	you,the,there,we,they
area	of,and,is,for,in
area's	history,ecosystem,environment
areas	of,and,such,for,where
aren't	following,no,any,enough,those
arena	in,of,and,for,is
arendelle	from,she
aretha	franklin
arg	and
argenteuil	a
argentina	and,bolivia,colombia,peru,chile
argon	potassium,and,water,as
arguably	the,much
argue	that,about,with,against,for
argued	that,for,the,in,held
argues	that,for,the,against,in
arguing	that,for,about,with,in
argument	for,in,is,and,to
argumentative	essay,persuasive,and,appeal,writing
arguments	and,for,against,to,in
argyll	and
aria	giovanni,emma
ariana	grande,grande's
arid	and,conditions,with,climates,deserts
ariel	from,and
arise	from,in,when,and,if
arisen	in,from,for,with
arises	from,when,in,as,out
arising	from,out,in,under,due
aristocracy	and,are
aristocratic	russian,families,zhou
aristotle	and,believed,was,thought,were
aristotle's	theory,lyceum,approach,view
arithmetic	mean,operations,and,sequence,expression
arizona	and,arkansas,in,real,is
arjan	van
ark	of,water
arkansas	and,for,schools,atlanta,california
arlington	schools
arm	and,is,to,of,in
arm's	length,control,gripping
armadillo	and,in,is
armadillos	are,opossums
armchair	with,sits,during,sat,for
armchairs	and,in
armed	with,and,forces,conflict,force
armenia	and,azerbaijan,australia
armies	of,in,near,across
armistice	with,in
armor	and,with,to,suit,from
armour	phone,and
armrest	for,to,using
arms	and,of,are,to,around
armstrong	and,number,was,e,edwin
armstrong's	most,journey
army	of,and,in,to,is
arnold	and
aroma	of,and,that,carried,like
aromas	of,and,dire
aromatherapy	or,meditation,filling
aromatic	hydrocarbons,twist,noodle,soft,and
arose	in,from,and,out,due
around	the,them,him,her,a
aroused	by
arpa	stand,stands
arpanet	was,the,in,and,is
arpeggio	in,and
arr	n,if,index,target,stands
arrange	the,a,for,to,an
arranged	in,by,to,for,a
arrangedarray	to,as
arrangement	of,for,with,in,is
arrangements	for,are,and,to,with
arranges	for,these
arranging	for,the,a,them,music
array	of,and,is,in,with
arrays	and,of,are,linked,a
arrest	of,and,in,the,warrant
arrested	in,and,for,on,by
arrests	and,of,in,after,implying
arrival	of,date,time,and,times
arrivals	and,program
arrive	at,in,on,early,by
arrived	at,in,the,on,and
arrives	at,in,and,to,within
arriving	at,in,on,from,late
arrogance	and,of
arrogant	and,man,manner,brave,generate
arrow	to,keys,logo,in,and
arrows	to,and,in,of,each
arroz	con
arsenal	of,scored,was,to,as
arsenic	and,selenium,antimony
arson	or,but,and
art	and,of,is,in,gallery
artemis	at
arterial	blood,pressure
arteries	and,which,capillaries,freeways,around
artery	disease,bypass,and
artfully	crafted,intelligently,brews
arthritis	and,pain,in,as,the
arthropod	family,living
arthur	and,samuel,was,golden,bob
arthur's	attempts,chagrin
artichoke	hearts,asparagus,dip,pesto,heart
article	about,is,in,on,discusses
article's	content,conclusion,sentiment,main,text
articles	and,about,of,on,by
articulate	the,and,why,persuasive,public
articulated	by,in
articulates	the
articulation	of
articulatory	phonetics,and
artifact	of,that,from,and,which
artifacts	and,from,in,of,that
artifical	intelligence
artificial	intelligence,neural,insemination,selection,neurons
artificialintelligence	is,are
artificially	intelligent,fixed,inflated
artillery	and,tactics
artisan	pieces,chocolates
artisanal	products,crafts,and,chocolates
artisans	where,peasants,and
artist	and,of,name,in,or
artist's	emotional,piece,technical,admiration,unique
artistdirect	is,on
artistic	and,expression,director,styles,style
artists	and,in,of,by,from
arts	and,in,of,degree,education
artwork	and,by,is,to,in
artworks	in,and,which,of
arxiv	e,reformatted
as	well,a,the,soon,possible
asain	gay
asakusa	district
asana	is,or,could,trello
asbestos	and
ascend	the,to,and,soar
ascended	to,the,in
ascending	order,sort,or,a,quality
ascent	of,signalling,date,team,to
ascertain	the,whether
ascertaining	the
ascii	characters,values,code,value
ascorbic	acid
ascribed	to
asexual	reproduction
ash	and,lava,which,gray,on
asha	who,was
ashamed	of,to,and,that
ashes	of,and,can,like
ashlee	simpson
ashley	and,k,justin,robert,had
ashmore	and
asia	and,is,in,pacific,to
asian	teens,girls,women,countries,sex
asians	and
asic	and,stands
aside	from,a,for,the,to
ask	a,questions,the,for,them
asked	to,if,about,the,by
asker	to
asking	for,price,questions,the,them
asks	for,the,about,you,a
asleep	and,at,in,on,for
asp	net
asparagus	and,wheat,vegetable,carrots,broccoli
aspartame	acesulfame,has
aspect	of,ratio,to,is,that
aspects	of,such,to,that,in
aspen	steak,and,telluride
aspergillus	nidulans,candida
aspirations	of,and,for
aspire	to
aspired	to
aspires	to
aspirin	and,is,as,can,are
aspiring	to,entrepreneurs,chefs,writer,actress
ass	teen,and,fucking,big,hole
assassin	becoming,sent
assassinated	in,by,the
assassination	of,attempt,in,occurred
assault	on,and,of,rifle,in
assaulted	by
assaults	on,as,and
assay	for,of
assays	for
assemblage	of
assemble	the,a,and,an,peacefully
assembled	in,at,by,a,and
assemblies	and,of,such
assembling	the,a,an,them,and
assembly	and,of,is,for,in
assent	to
assert	that,the,isinstance,his,her
asserted	that,by,in,i
asserting	that,their
assertion	that,of,is,statement,or
assertions	that,of,providing,with
assertive	and,in,not,but,diplomatic
assertiveness	is,helps,emotional,being
asserts	that,both
asses	and,the
assess	the,their,a,and,whether
assessed	by,for,and,the,on
assesses	the,an
assessing	the,and,whether,a,its
assessment	of,and,is,for,in
assessments	and,to,of,are,for
asset	to,classes,and,in,for
assets	and,of,in,to,that
asshole	and
assign	a,the,an,it,to
assigned	to,a,the,by,ripencc
assigning	a,the,tasks,roles,labels
assignment	of,was,to,is,and
assignments	and,are,that,to,for
assigns	a,the,to,it,permissions
assimilation	of,is,in
assist	with,in,the,you,and
assistance	to,and,in,with,for
assistant	to,in,for,and,can
assistant's	responses,performance,data
assistants	and,can,to,in,are
assisted	in,by,with,living,suicide
assisting	the,with,in,you,a
assistive	technology,technologies
assists	in,the,with,and,for
associate	of,in,degree,editor,the
associated	with,to,costs,data,protein
associates	and,of,in,with,is
associating	with,information
association	of,for,with,and,in
associations	and,of,in,between,are
associative	array,structures,law,tables
assonance	consonance,or
assorted	roasted,salad
assortment	of,and
assume	that,the,you,any,no
assumed	that,to,the,by,a
assumes	that,all,the,a,no
assuming	that,the,a,you,it
assumption	of,that,is,in,based
assumptions	and,about,of,that,are
assurance	and,that,of,to,in
assurances	that,of
