# Bengali Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
অ	রিলেশনাল,বিভাগীয়,বিষাক্ত,চৌম্বকীয়,আ
অতিমানবীয়	যন্ত্র,স্তরে,শক্তি,পর্যায়ে,ক্ষমতা
অতিমূল্যায়ণ	করা
অতিরঁজিত	করা
অতিরঞ্জন	ব্যবহার,জড়িত,আছে,রয়েছে,ছাড়াই
অতিরঞ্জিত	করা,বা,করে,করতে,হতে
অতিরিক্ত	তথ্য,স্তর,বৈশিষ্ট্য,খরচ,তথ্যের
অতিশয়	ঘামা,লালয়িত,খোসামোদপূর্ণ,শুষ্কতা,আনন্দ
অতিষ্ঠ	করা
অতিসরল	অথচ,করে
অতিস্বনক	সেন্সরগুলিকে,ডিভাইসের,তরঙ্গসংক্রান্ত
অতীত	কালের,কাল,নিখুঁত,এবং,থেকে
অতীতকে	ধরে,পেছনে,পুনর্বিবেচনা,প্রাসঙ্গিক,ভুলতে
অতীতে	ঘটেছে,মঙ্গল,একই,বছর,তাদের
অতীতের	একটি,মিথস্ক্রিয়া,সাথে,কথা,রহস্য
অতীন্দ্রিয়	সত্তা,সত্তার,অধিবিদ্যার
অতীব	গুরুত্বপূর্ণ,জরুরী,তরল,উত্কৃষ্ট,প্রকাণ্ড
অতুল	ঐশ্বর্য,অগ্নিহোত্রির
অতুলনীয়	ব্যক্তি,ছিল,দক্ষতার,হওয়ায়,কর্মক্ষমতা
অতু্যচ্চকণ্ঠ	সুর
অতৃপ্ত	তৃষ্ণা,বোধ,আত্মা,ছিল,আকাঙ্ক্ষা
অত্যধিক	ব্যবহার,সময়,ব্যবহারের,প্রশংসা,বোঝাই
অত্যন্ত	গুরুত্বপূর্ণ,মূল্যবান,কার্যকর,দক্ষ,জনপ্রিয়
অত্যল্প	পরিমাণ,অংশ
অত্যাচার	থেকে,করা,ও,চালিয়ে,মেনে
অত্যাচারী	শাসক,সরকারকে,নেতাতে,স্বামীর,হয়ে
অত্যাচারের	বিরুদ্ধে,শৃঙ্খল,যন্ত্রণায়,প্রধান,অবসান
অত্যাধুনিক	প্রযুক্তি,প্রযুক্তির,কৃত্রিম,অ্যালগরিদম,প্রযুক্তিতে
অত্যাবশ্যক	যে,কারণ,লক্ষণগুলি,প্রজাতিগুলিকে,জ্ঞান
অত্যাবশ্যকীয়	দক্ষতা,পুষ্টি,প্রক্রিয়া,তরল,এবং
অত্যাশ্চর্য	দৃশ্য,ভিজ্যুয়াল,প্রাকৃতিক,দৃশ্যের,স্থাপত্য
অত্যাশ্চর্যভাবে	আড়ম্বরপূর্ণ,স্পন্দনশীল
অত্যুচ্চ	স্থানে,পদস্থ
অত্যুজ্জ্বল	ও,অতিনবতারা
অত্র	ফরমেটে,অঞ্চলে,স্থলে
অথচ	শক্তিশালী,সন্তোষজনক,জাদুকরী,সদয়,অদ্ভুতভাবে
অথবা	একটি,আপনি,আপনার,তারা,অন্য
অথরিটি	গঠন,অর্থাৎ
অথর্ববেদে	উল্লেখ,প্রায়
অদক্ষ	যন্ত্রপাতি,যন্ত্রপাতিগুলিকে,প্রক্রিয়া,ব্যবহার,ব্যবস্থা
অদক্ষতা	এবং,সনাক্ত,থেকে,প্রকাশ
অদক্ষতার	সমস্যার,মূল,উত্স,মতো
অদম্য	শক্তি,মনোভাব,সুযোগ,তৃষ্ণা,সমুদ্র
অদরাইজড	বায়োগ্রাফী
অদল	বদলের,বদল
অদলবদল	করুন,করা,করে,প্রয়োজন,করি
অদলবদলের	প্রয়োজন,জন্য
অদিতি	সেন,দে
অদিম	অধিবাসী
অদূর	ভবিষ্যতে,ভবিষ্যতের
অদূরদর্শী	বলে,বা
অদূরে	সুনামগঞ্জে,ভার্জিনিয়ার,গরজরিপার
অদৃশ্য	হয়ে,হত্তয়া,হতে,এবং,হওয়ার
অদেখা	ডেটাতে,তথ্যের,ডেটার,দেবতা,উপস্থিতির
অদ্বিতীয়	পরিচয়,হয়ে,স্বাক্ষর
অদ্ভুত	এবং,ঘটনা,কিছু,প্রাণী,ছোট্ট
অদ্ভুততার	বাতাসকে,প্রাণী
অদ্ভুতদর্শন	কল
অদ্যাবধি	কৃষিনির্ভর,প্রকাশিত,পরিচালিত,অলিম্পিক,সময়
অদ্রবণীয়	তবে,উভয়
অধরা	এবং,প্রাণীদের,হয়ে
অধস্তন	ধারা,অত্যাচারী,বিষয়,তার,সংযোগ
অধস্তনদের	ইনপুটের,সাথে
অধাতু	এবং,মৌল,উপাদানগুলির,গ্যাস,উভয়েরই
অধাতুগুলি	বিভিন্ন,সাধারণত
অধাতুর	বৈশিষ্ট্য,চেয়ে,বৈশিষ্ট্যগুলি,সাথে
অধিক	পরিচিত,নিয়ন্ত্রণ,হারে,কপি,গুরুত্ব
অধিকতর	ভারী,স্বায়ত্তশাসন,দক্ষতার,গ্রাহক,নিয়ন্ত্রণ
অধিকতরভাবে	উপদেষ্টার,ছড়িয়ে
অধিকন্তু	ভূগোলবিদ,তারা
অধিকরণ	বলা,পরিচালনার,এর,প্রতিষ্ঠানটি
অধিকর্তা	ও,আলফ্রেড
অধিকসংখ্যক	মেয়েরা,দাঁতবিশিষ্ট
অধিকার	এবং,রয়েছে,ও,রক্ষা,আন্দোলনের
অধিকারও	হুমকির,নেই,দাবি
অধিকারকে	সম্মান,স্বীকৃতি,অবজ্ঞা,বোঝায়,উপেক্ষা
অধিকারগুলি	সুরক্ষিত,সেই,সর্বজনীন,রক্ষা,অন্যদের
অধিকারগুলিকে	অস্বীকার,স্পষ্টভাবে,সম্মান,স্বীকৃতি
অধিকারগুলির	মধ্যে,সুরক্ষার,গুরুত্ব,প্রায়শই
অধিকারগুলো	নিশ্চিত,দিতে
অধিকারচ্যুত	করা
অধিকারটি	সৃজনশীলতা,পাওয়া,খুব
অধিকারপ্রাপ্ত	ব্যক্তি,প্রতিনিধি,বেসরকারী
অধিকারপ্রাপ্তির	বোধ
অধিকারভুক্ত	এলাকা,হত্তয়া,হওয়া,নয়
অধিকারাদি	হইতে
অধিকারী	ছিলেন,এবং,হতে,ছিল,হয়
অধিকারীকে	বিজয়ী,মৃত্যুর
অধিকারীদের	দ্বারা,সুস্পষ্টভাবে
অধিকারীর	জন্ম,ছোটু,অভিষেক,সম্মান
অধিকারে	একটি,থাকা,অনন্য,নতুন,হস্তক্ষেপ
অধিকারের	জন্য,লঙ্ঘন,পক্ষে,ঘোষণা,বিষয়ে
অধিকৃত	যানবাহনের,স্থানের,হওয়ার,ও,ছিল
অধিক্ষেত্রের	অবস্থান,মেট্রোপলিটন
অধিগম্য	করা,স্মৃতি
অধিগৃহীত	হয়
অধিগ্রহণ	করে,করা,এবং,খরচ,সম্পর্কে
অধিগ্রহণকারী	যানবাহনকে,যানবাহন
অধিগ্রহণে	অর্থায়নের,ব্যাপক,ছিল
অধিগ্রহণের	মাধ্যমে,সাথে,সাথেই,মধ্যে,প্রয়োজন
অধিদপ্তর	বিমানবন্দরের,ও,উৎপাদন,ঐতিহ্যবাহী,সূত্রে
অধিদপ্তরে	উচ্চ,ইভ্যালির
অধিদপ্তরের	মানমন্দিরে,নিবন্ধনপ্রাপ্ত,মহাপরিচালক
অধিনবতারা	বা,পর্যবেক্ষিত
অধিনবতারার	বিকল্প,পর্যবেক্ষণ
অধিনায়ক	হিসেবে,মনে,মুশফিকুর,মহেন্দ্র,ব্রিগেডিয়ার
